id_produit;ean;reference;reference_sumup;nom_produit;marque;gamme;categorie;format;nicotine;prix;stock_general;stock_minimum;statut_stock;actif;image;derniere_synchro_sumup
cms96cva3000juto861bzosuz;;;;Senka;66 Juice;66 Juice;e-liquides;;;;0;3;Rupture;Non;;2026-08-06T14:04:12.979Z
cms96cv9n000huto852mjfs8t;;;;Yuluma;66 Juice;66 Juice;e-liquides;;;;0;3;Rupture;Non;;2026-08-06T14:04:12.979Z
cms6euct600gkutmkr6qwsm8f;3701760600994;;487b5604-8696-4848-a033-6343c0acc1fc;Double dragon 50ml - fruit du dragon cerise;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-cerise.webp;2026-07-31T12:32:59.070Z
cms6euctc00glutmk1uitza0l;3701760601069;;bcb6e342-a1ac-4cbe-a0f7-cdc181b6a4d4;Double dragon 50ml - fruit du dragon fraise;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-fraise.webp;2026-07-31T12:32:59.076Z
cms6eucth00gmutmki5lj2tpe;3701760600666;;ae4de27a-4afc-407e-b244-5866da7196fd;Double dragon 50ml - fruit du dragon framboise;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-framboise.webp;2026-07-31T12:32:59.080Z
cms6eucto00gnutmkd39xrtow;3760375111523;;8fec163c-48c0-4eaa-90b7-47f749b4e063;Double dragon 50ml - fruit du dragon limonade;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-limonade.webp;2026-07-31T12:32:59.083Z
cms6euctt00goutmkypkix4j3;3701760601014;;765cc625-27bb-46c2-b6c2-6e92fab33feb;Double dragon 50ml - fruit du dragon mandarine;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-mandarine.webp;2026-07-31T12:32:59.087Z
cms6euctz00gputmkfvre4opv;3701760601021;;40b75c8b-5ff2-49b9-ae01-1ad3434da1eb;Double dragon 50ml - fruit du dragon mure;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-mure.webp;2026-07-31T12:32:59.091Z
cms6eucu600gqutmkbowomhjf;3701760600673;;23b5ab3d-11e3-431a-aeb5-ff58b89ca406;Double dragon 50ml - fruit du dragon passion;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-passion.webp;2026-07-31T12:32:59.094Z
cms6eucub00grutmku8oswk4i;3701760601007;;ba8a826b-a977-4543-9072-05c55fb7c94f;Double dragon 50ml - fruit du dragon peche;Biarritz Lab;Double Dragon;e-liquides;50 ml;0;20.90;0;3;Rupture;Oui;/media/products/biarritz-lab/double-dragon/50ml/fruit-du-dragon-peche.webp;2026-07-31T12:32:59.098Z
